nm; %R
1500,000000; 22,140425
1499,000000; 22,083974
1498,000000; 22,098558
1497,000000; 22,110795
1496,000000; 21,989470
1495,000000; 21,994830
1494,000000; 21,917167
1493,000000; 22,048409
1492,000000; 22,101769
1491,000000; 22,021758
1490,000000; 22,074245
1489,000000; 22,096408
1488,000000; 22,046204
1487,000000; 22,041746
1486,000000; 21,952259
1485,000000; 22,030851
1484,000000; 22,043915
1483,000000; 22,029726
1482,000000; 21,877574
1481,000000; 21,780304
1480,000000; 21,679354
1479,000000; 21,817524
1478,000000; 21,814324
1477,000000; 21,803868
1476,000000; 21,898716
1475,000000; 21,943274
1474,000000; 21,886147
1473,000000; 21,842127
1472,000000; 21,805090
1471,000000; 21,741111
1470,000000; 21,752736
1469,000000; 21,725600
1468,000000; 21,686413
1467,000000; 21,659299
1466,000000; 21,609416
1465,000000; 21,584129
1464,000000; 21,630186
1463,000000; 21,618996
1462,000000; 21,599030
1461,000000; 21,579011
1460,000000; 21,603008
1459,000000; 21,630013
1458,000000; 21,623031
1457,000000; 21,615883
1456,000000; 21,614772
1455,000000; 21,577096
1454,000000; 21,538142
1453,000000; 21,494937
1452,000000; 21,537221
1451,000000; 21,508088
1450,000000; 21,499189
1449,000000; 21,481915
1448,000000; 21,481726
1447,000000; 21,483472
1446,000000; 21,475628
1445,000000; 21,467791
1444,000000; 21,433062
1443,000000; 21,406305
1442,000000; 21,420885
1441,000000; 21,454391
1440,000000; 21,410958
1439,000000; 21,368959
1438,000000; 21,334437
1437,000000; 21,347502
1436,000000; 21,343013
1435,000000; 21,336017
1434,000000; 21,332028
1433,000000; 21,314739
1432,000000; 21,314066
1431,000000; 21,305034
1430,000000; 21,315904
1429,000000; 21,333530
1428,000000; 21,329418
1427,000000; 21,325697
1426,000000; 21,330708
1425,000000; 21,349381
1424,000000; 21,283284
1423,000000; 21,279515
1422,000000; 21,294824
1421,000000; 21,309368
1420,000000; 21,320799
1419,000000; 21,288342
1418,000000; 21,282276
1417,000000; 21,310765
1416,000000; 21,299548
1415,000000; 21,297255
1414,000000; 21,307209
1413,000000; 21,310478
1412,000000; 21,350323
1411,000000; 21,370206
1410,000000; 21,356207
1409,000000; 21,325611
1408,000000; 21,328422
1407,000000; 21,370733
1406,000000; 21,381847
1405,000000; 21,380984
1404,000000; 21,369689
1403,000000; 21,367788
1402,000000; 21,404122
1401,000000; 21,413046
1400,000000; 21,420198
1399,000000; 21,445222
1398,000000; 21,469143
1397,000000; 21,478127
1396,000000; 21,477107
1395,000000; 21,495405
1394,000000; 21,465830
1393,000000; 21,475396
1392,000000; 21,522654
1391,000000; 21,523088
1390,000000; 21,512143
1389,000000; 21,507954
1388,000000; 21,508723
1387,000000; 21,499248
1386,000000; 21,498706
1385,000000; 21,514205
1384,000000; 21,526265
1383,000000; 21,536898
1382,000000; 21,542764
1381,000000; 21,548024
1380,000000; 21,517105
1379,000000; 21,498085
1378,000000; 21,502314
1377,000000; 21,493830
1376,000000; 21,490072
1375,000000; 21,474852
1374,000000; 21,472261
1373,000000; 21,520694
1372,000000; 21,527001
1371,000000; 21,489259
1370,000000; 21,492383
1369,000000; 21,483595
1368,000000; 21,467693
1367,000000; 21,471977
1366,000000; 21,484058
1365,000000; 21,466938
1364,000000; 21,448895
1363,000000; 21,444582
1362,000000; 21,410085
1361,000000; 21,397368
1360,000000; 21,413641
1359,000000; 21,394526
1358,000000; 21,381903
1357,000000; 21,382863
1356,000000; 21,372899
1355,000000; 21,354243
1354,000000; 21,380541
1353,000000; 21,370441
1352,000000; 21,353045
1351,000000; 21,373083
1350,000000; 21,394994
1349,000000; 21,372852
1348,000000; 21,334638
1347,000000; 21,314964
1346,000000; 21,329319
1345,000000; 21,322392
1344,000000; 21,315907
1343,000000; 21,316073
1342,000000; 21,314910
1341,000000; 21,286486
1340,000000; 21,331794
1339,000000; 21,422031
1338,000000; 21,493105
1337,000000; 21,561414
1336,000000; 21,552172
1335,000000; 21,542876
1334,000000; 21,527913
1333,000000; 21,589681
1332,000000; 21,581292
1331,000000; 21,552164
1330,000000; 21,525451
1329,000000; 21,526157
1328,000000; 21,565360
1327,000000; 21,561841
1326,000000; 21,536039
1325,000000; 21,534414
1324,000000; 21,525048
1323,000000; 21,590422
1322,000000; 21,598547
1321,000000; 21,547438
1320,000000; 21,537092
1319,000000; 21,485666
1318,000000; 21,538411
1317,000000; 21,562732
1316,000000; 21,646799
1315,000000; 21,560774
1314,000000; 21,518676
1313,000000; 21,478048
1312,000000; 21,545031
1311,000000; 21,563824
1310,000000; 21,504770
1309,000000; 21,498817
1308,000000; 21,448082
